index,score,threshold,prediction,attack
592,48951.9375,45.028438568115234,1,1
593,48964.20703125,45.028438568115234,1,1
594,48966.0546875,45.028438568115234,1,1
595,61508.77734375,45.028438568115234,1,0
596,47418.71875,45.028438568115234,1,0
597,43452.30078125,45.028438568115234,1,0
598,42024.10546875,45.028438568115234,1,0
599,41584.8828125,45.028438568115234,1,0
600,43584.73828125,45.028438568115234,1,0
601,43585.79296875,45.028438568115234,1,0
602,43585.8359375,45.028438568115234,1,0
603,43586.484375,45.028438568115234,1,1
604,43586.0390625,45.028438568115234,1,1
605,43590.2578125,45.028438568115234,1,1
606,43592.73046875,45.028438568115234,1,1
607,43594.37109375,45.028438568115234,1,1
608,43594.6953125,45.028438568115234,1,1
609,43595.48828125,45.028438568115234,1,1
610,43596.0546875,45.028438568115234,1,1
611,43596.23828125,45.028438568115234,1,0
612,43595.93359375,45.028438568115234,1,0
613,43593.54296875,45.028438568115234,1,0
614,43591.23046875,45.028438568115234,1,0
615,43589.6484375,45.028438568115234,1,0
616,43589.52734375,45.028438568115234,1,0
617,43589.56640625,45.028438568115234,1,0
618,43599.94921875,45.028438568115234,1,0
619,43605.22265625,45.028438568115234,1,1
620,43619.41796875,45.028438568115234,1,1
621,43624.76953125,45.028438568115234,1,1
622,56173.0703125,45.028438568115234,1,1
623,43145.98828125,45.028438568115234,1,1
624,39767.23046875,45.028438568115234,1,1
625,38857.91015625,45.028438568115234,1,1
626,38828.50390625,45.028438568115234,1,0
627,40879.34375,45.028438568115234,1,0
628,40880.6015625,45.028438568115234,1,0
629,40880.55859375,45.028438568115234,1,0
630,40880.82421875,45.028438568115234,1,0
631,40880.82421875,45.028438568115234,1,0
632,40881.53515625,45.028438568115234,1,0
633,40881.33203125,45.028438568115234,1,0
634,79580.8671875,45.028438568115234,1,1
635,40881.65625,45.028438568115234,1,1
636,40882.08203125,45.028438568115234,1,1
637,40882.36328125,45.028438568115234,1,1
638,40881.98046875,45.028438568115234,1,1
639,40881.8359375,45.028438568115234,1,1
640,53424.4140625,45.028438568115234,1,1
641,39456.7421875,45.028438568115234,1,1
642,58854.421875,45.028438568115234,1,0
643,33464.9765625,45.028438568115234,1,0
644,32946.62890625,45.028438568115234,1,0
645,34669.15234375,45.028438568115234,1,0
646,34806.30078125,45.028438568115234,1,0
647,34806.84765625,45.028438568115234,1,0
648,34806.625,45.028438568115234,1,0
649,34806.09765625,45.028438568115234,1,0
650,34805.8515625,45.028438568115234,1,1
651,34805.953125,45.028438568115234,1,1
652,34806.13671875,45.028438568115234,1,1
653,34806.625,45.028438568115234,1,1
654,34807.171875,45.028438568115234,1,1
655,34819.03515625,45.028438568115234,1,1
656,34824.734375,45.028438568115234,1,1
657,34829.15234375,45.028438568115234,1,0
658,34828.890625,45.028438568115234,1,0
659,34829.96484375,45.028438568115234,1,0
660,34829.90234375,45.028438568115234,1,0
661,34829.7421875,45.028438568115234,1,0
662,34829.76171875,45.028438568115234,1,0
663,34829.984375,45.028438568115234,1,0
664,34830.4296875,45.028438568115234,1,0
665,1000000.0,45.028438568115234,1,1
666,1040498.375,45.028438568115234,1,0
667,179037.53125,45.028438568115234,1,0
668,43569.70703125,45.028438568115234,1,0
669,45356.95703125,45.028438568115234,1,0
670,45201.52734375,45.028438568115234,1,0
671,45934.00390625,45.028438568115234,1,0
672,45927.84375,45.028438568115234,1,0
673,46011.9453125,45.028438568115234,1,0
674,46150.75,45.028438568115234,1,0
675,46248.51171875,45.028438568115234,1,0
676,46314.33203125,45.028438568115234,1,1
677,91308.4375,45.028438568115234,1,0
678,47670.4609375,45.028438568115234,1,0
679,1173331456.0,45.028438568115234,1,0
680,1344654080.0,45.028438568115234,1,0
681,1894725760.0,45.028438568115234,1,0
682,4767271936.0,45.028438568115234,1,0
683,6178526720.0,45.028438568115234,1,0
684,6404424192.0,45.028438568115234,1,0
685,7859295232.0,45.028438568115234,1,1
686,10704500736.0,45.028438568115234,1,1
687,9458874368.0,45.028438568115234,1,0
688,9590945792.0,45.028438568115234,1,0
689,8887139328.0,45.028438568115234,1,0
690,7992039936.0,45.028438568115234,1,0
691,6834762752.0,45.028438568115234,1,0
692,6568997376.0,45.028438568115234,1,0
693,4887213568.0,45.028438568115234,1,0
694,886075584.0,45.028438568115234,1,0
